iter	Passed	Remaining
813	13319	3043
814	13337	3027
815	13350	3010
816	13364	2993
817	13379	2976
818	13396	2960
819	13412	2944
820	13428	2927
821	13447	2911
822	13462	2895
823	13477	2878
824	13492	2862
825	13506	2845
826	13524	2829
827	13542	2813
828	13556	2796
829	13569	2779
830	13582	2762
831	13599	2745
832	13612	2729
833	13626	2712
834	13640	2695
835	13652	2678
836	13666	2661
837	13683	2645
838	13699	2628
839	13715	2612
840	13731	2596
841	13745	2579
842	13758	2562
843	13775	2546
844	13790	2529
845	13802	2512
846	13818	2496
847	13831	2479
848	13844	2462
849	13869	2447
850	13884	2430
851	13897	2414
852	13911	2397
853	13926	2380
854	13943	2364
855	13958	2348
856	13969	2330
857	13982	2314
858	13997	2297
859	14012	2281
860	14024	2264
861	14038	2247
862	14052	2230
863	14068	2214
864	14099	2200
865	14125	2185
866	14143	2169
867	14160	2153
868	14178	2137
869	14195	2121
870	14214	2105
871	14233	2089
872	14252	2073
873	14266	2056
874	14285	2040
875	14300	2024
876	14317	2008
877	14339	1992
878	14356	1976
879	14373	1959
880	14391	1943
881	14410	1927
882	14427	1911
883	14444	1895
884	14459	1878
885	14474	1862
886	14493	1846
887	14508	1829
888	14523	1813
889	14539	1796
890	14554	1780
891	14573	1764
892	14588	1747
893	14605	1731
894	14619	1715
895	14633	1698
896	14645	1681
897	14660	1665
898	14676	1648
899	14691	1632
900	14708	1616
901	14721	1599
902	14736	1582
903	14755	1566
904	14769	1550
905	14785	1534
906	14798	1517
907	14813	1500
908	14828	1484
909	14845	1468
910	14860	1451
911	14879	1435
912	14890	1418
913	14906	1402
914	14920	1386
915	14937	1369
916	14953	1353
917	14971	1337
918	14985	1320
919	15002	1304
920	15017	1288
921	15033	1271
922	15052	1255
923	15069	1239
924	15082	1222
925	15099	1206
926	15115	1190
927	15129	1173
928	15141	1157
929	15162	1141
930	15179	1124
931	15196	1108
932	15213	1092
933	15226	1075
934	15241	1059
935	15256	1043
936	15271	1026
937	15285	1010
938	15300	993
939	15315	977
940	15332	961
941	15344	944
942	15358	928
943	15374	912
944	15391	895
945	15408	879
946	15420	863
947	15434	846
948	15449	830
949	15465	813
950	15482	797
951	15497	781
952	15513	765
953	15527	748
954	15542	732
955	15561	716
956	15576	699
957	15594	683
958	15610	667
959	15626	651
960	15640	634
961	15649	618
962	15665	601
963	15680	585
964	15697	569
965	15713	553
966	15726	536
967	15742	520
968	15760	504
969	15778	487
970	15793	471
971	15808	455
972	15825	439
973	15842	422
974	15857	406
975	15873	390
976	15887	374
977	15905	357
978	15919	341
979	15935	325
980	15956	309
981	15971	292
982	15988	276
983	16004	260
984	16019	243
985	16035	227
986	16051	211
987	16061	195
988	16076	178
989	16092	162
990	16108	146
991	16122	130
992	16138	113
993	16154	97
994	16170	81
995	16186	65
996	16202	48
997	16215	32
998	16231	16
999	16245	0
